Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
101,103.89585583247207,True,Environmental and research-oriented policy,Environmental and research-oriented policy,0.6331205416219937,True,0.09380431540405963,0.1863231349866616,0.13260203813476656,0.009389930792780582,7.0562001465018405
102,109.02490965477256,True,Social protection policy,Infrastructure investment,0.7962237126168727,True,0.09466962208243236,0.26783703327502484,0.05528241676323514,0.008224227250253284,4.830228100587526
103,60.494245167253936,True,Social protection policy,Infrastructure investment,0.855007120157665,True,0.040676339524340036,0.04985215739741028,0.0543788972843684,0.038136133653411446,2.2418621870921522
104,96.51404706905265,True,Social protection policy,Infrastructure investment,0.8229528173306233,True,0.032439306145253206,0.06173207728024588,0.03631984246800962,0.015485651760130711,3.6319041655484945
105,65.25417377942351,True,Social protection policy,Social protection policy,0.739801044314356,True,0.03764776855894465,0.10354006188598858,0.026658299402380292,0.001568828667937422,4.251308678591454
106,91.04858294875837,True,Social protection policy,Infrastructure investment,0.7510678720954255,True,0.029718347834364285,0.0755922339433176,0.02452131044670136,0.003900673030256034,4.225275762952836
107,57.3944754311851,True,Social protection policy,Social protection policy,0.8624909601786639,True,0.08815514998222529,0.21377541002452038,0.08001438339515138,0.014753231518116756,2.179998129735845
108,68.03003995141582,True,Social protection policy,Social protection policy,0.861425261650723,True,0.008724440210495007,0.011797906241894918,0.0013006515427527177,0.017436982952084887,2.753820675481414
109,95.5495155298533,True,Social protection policy,Infrastructure investment,0.8733863136943643,True,0.03776203553986014,0.1089979784720253,0.016971142774843906,0.006198003142641281,3.0492107900092638
110,93.46977005588849,True,Social protection policy,Social protection policy,0.8266360458956311,True,0.12115318174299208,0.2628512679511339,0.15400668249753657,0.007178185651801866,3.9785999272515182
111,61.83591993312776,True,Social protection policy,Social protection policy,0.8241532881874309,True,0.07753552638039572,0.10359374983378666,0.16254025706697295,0.005240335430625402,2.741354039969006
112,76.76610428865372,True,Social protection policy,Social protection policy,0.6800800595106432,True,0.02566322036542325,0.07370038225814324,0.011262852270681245,0.004858036750156891,6.270047756567017
113,118.48578250898079,True,Social protection policy,Infrastructure investment,0.8381319453898491,True,0.0665926995526385,0.1569522156011458,0.06026397641584735,0.01585825641724159,3.3907897245278114
114,71.68799535462936,True,Social protection policy,Infrastructure investment,0.8318167700552809,True,0.027692454924088648,0.06870512068911816,0.01828898647599153,0.00992948506920057,2.957860798526174
115,74.92987378173753,True,Social protection policy,Social protection policy,0.8135482535246207,True,0.03589578424113472,0.03201864630298534,0.07959058161032107,0.014026016930665117,3.937095788767952
116,87.95741721565531,True,Social protection policy,Infrastructure investment,0.8670120638443586,True,0.05450664703557299,0.1243951368053326,0.05887607200365497,0.007502055815517876,2.7919565768075136
117,102.99997226395406,True,Infrastructure investment,Infrastructure investment,0.867143298600909,True,0.05639673986726796,0.05798522472490586,0.12873637378623043,0.010666991024301561,2.941315073697241
118,108.58563481464518,True,Social protection policy,Infrastructure investment,0.791219302341937,True,0.09814333029281666,0.2270038851493612,0.06263014310511739,0.053867627770379733,4.155737028673509
119,84.34495568589335,True,Infrastructure investment,Infrastructure investment,0.8799199612445112,True,0.025666889277937303,0.03180480159822552,0.04523832682935891,0.01279098404519613,2.409280760643078
120,116.71727726907652,True,Social protection policy,Social protection policy,0.7980034650532003,True,0.04761705049099578,0.1317926775448625,0.027825490107872386,0.007041509065750323,4.3867435486928485
121,97.04039745165919,True,Social protection policy,Social protection policy,0.8083987204360433,True,0.0612123103920732,0.154298792298468,0.023420707568840404,0.03652358650494779,4.060555803830833
122,106.52379965309612,True,Social protection policy,Infrastructure investment,0.8481108545546039,True,0.06133908509969955,0.1389604473415028,0.04930939180817817,0.02641695869926744,3.9303165965408393
123,91.92625769592287,True,Social protection policy,Infrastructure investment,0.762201378112016,True,0.0513776343222302,0.14104576268621016,0.025964398549951195,0.012811558891644342,4.58493660499128
124,86.22116042201962,True,Social protection policy,Infrastructure investment,0.7965391383146538,True,0.06142880347691736,0.14127345119589713,0.02683142780987033,0.0468959331634433,3.3787209252993677
125,65.6512831057334,True,Social protection policy,Social protection policy,0.7898270588074814,True,0.09569254943131043,0.10596314322392464,0.19033940066493316,0.038621379120728744,3.145211801873022
126,92.01295681004027,True,Social protection policy,Social protection policy,0.7258944491061844,True,0.07088549725578062,0.17824805836864566,0.05676026127082223,0.013090920755764318,5.12447618090214
127,70.8743520419634,True,Social protection policy,Infrastructure investment,0.8351106589846713,True,0.030439675893114575,0.09036017207187957,0.005660611990197517,0.010518081563823924,2.995178360906471
128,115.04184686359216,True,Social protection policy,Infrastructure investment,0.8189944479453268,True,0.02354324565564533,0.06752997017307505,0.011525592857356048,0.0033457967643275507,3.9833842016618592
129,71.69031237972735,True,Social protection policy,Social protection policy,0.8470641835979921,True,0.03878034539841251,0.05466400373599084,0.07414085769975454,0.006926347458698398,2.7928463497891567
130,74.91151180813091,True,Social protection policy,Infrastructure investment,0.8100803493905031,True,0.035788610847682464,0.08667612423066351,0.016732416202987765,0.02185159753323733,3.865906453399638
131,103.95648541986013,True,Social protection policy,Social protection policy,0.8095986614857915,True,0.09518052683312449,0.17878726097403197,0.09529721468476804,0.05904736825713569,3.9373663039931928
132,85.77110511656059,True,Social protection policy,Social protection policy,0.7622904266218623,True,0.05766042203178907,0.15232995418582734,0.02966879295873648,0.019812729966697917,4.375846038172549
133,114.30753930859605,True,Social protection policy,Social protection policy,0.8144285966878249,True,0.09905584162053163,0.2611901139612669,0.08077581656611232,0.004729515144481486,4.333335438597932
134,104.4671617878585,True,Infrastructure investment,Infrastructure investment,0.8564091504640607,True,0.040500485273068175,0.03286491705065053,0.06495019083685871,0.04393659056822938,2.986103465619045
135,71.43204758436713,True,Environmental and research-oriented policy,Social protection policy,0.7020731511540764,True,0.056790960655043535,0.042751742016851335,0.15597825205161697,3.836822418407104e-05,5.60591212137857
136,120.28016176147486,True,Infrastructure investment,Infrastructure investment,0.8325074277330938,True,0.049034677444650863,0.08918962708164535,0.07087637708953232,0.011555366885100359,3.6837102951070992
137,90.4839512512774,True,Social protection policy,Social protection policy,0.8574623177590183,True,0.015633506798678372,0.01884865851516332,0.014506162878930029,0.021362452401280957,2.6924125281544464
138,72.6661996502184,True,Social protection policy,Infrastructure investment,0.8648205426370161,True,0.05518673046626162,0.10012917923355125,0.07928087309644671,0.013743504301917717,2.390419411870444
139,103.60221851811107,True,Social protection policy,Social protection policy,0.7814801754530516,True,0.03646451199146177,0.0764258242796837,0.031670620473278954,0.019529347217153534,4.911113012345937
140,68.40163743089232,True,Social protection policy,Infrastructure investment,0.7636331839656149,True,0.05411009067969229,0.09958476707557717,0.08600267797650507,0.0037978723268407635,4.383400726700405
141,92.1533931685814,True,Social protection policy,Infrastructure investment,0.7594682894124084,True,0.02860616538039357,0.07590237771093322,0.018342219963408735,0.005876981157035541,4.646174139087071
142,134.09930685441577,True,Social protection policy,Infrastructure investment,0.857667261232321,True,0.07721696285947977,0.16025650046278994,0.10410278592424915,0.005900083621140098,3.802820499625065
143,79.27975443764063,True,Social protection policy,Infrastructure investment,0.7979540844511948,True,0.017232240717458575,0.035723498931746756,0.013908764251696404,0.010680579327661852,4.098360585715964
144,59.48338939086378,True,Social protection policy,Social protection policy,0.847074854889553,True,0.025923876983699863,0.07062218166960604,0.003669147717916932,0.01644224005542655,2.6639969530957193
145,70.67676662484772,True,Social protection policy,Social protection policy,0.8477081774067792,True,0.029908637653972496,0.053362850809181295,0.04300987158736547,0.008307509392356978,3.074651873073414
146,71.81843471708953,True,Infrastructure investment,Infrastructure investment,0.7524106061339113,True,0.018372022221292944,0.029575332068836946,0.03308122398185209,0.0016455217238362657,5.441418000695289
147,52.700847691846505,True,Social protection policy,Infrastructure investment,0.7973844505760836,True,0.011549714882413862,0.014236783335238645,0.0,0.026187218753209868,3.3987453845185787
148,93.47498266005174,True,Social protection policy,Social protection policy,0.7946111199996099,True,0.057462544905480514,0.16580094616705987,0.02507700175014138,0.010240959251980555,4.131744453987741
149,84.15433672831986,True,Social protection policy,Social protection policy,0.8095498986013782,True,0.052697548703702794,0.1267958851814417,0.054526496423954685,0.0031190388575634033,3.5856079964135645
150,114.95627232766233,True,Social protection policy,Infrastructure investment,0.7946252539418664,True,0.01913180323316301,0.054168602628731244,0.009322708467183527,0.0034700002201557556,4.570053390118355
151,79.0639931085679,True,Social protection policy,Social protection policy,0.8019548668062598,True,0.04626087813956825,0.062218691222737155,0.09069143422056514,0.009002948045186601,3.389059295104788
